id;Nama Barang;NUP;Merk;Tipe;Serial Number;Tgl Perolehan
1;P.C Unit;52;;-;monitor only;2010-06-30
2;P.C Unit;54;DELL ;Optiplex 780;monitor only;2010-06-30
3;P.C Unit;30;ASUS;EEETOP2013IUTI-B041C;E9PTBX003480;2010-06-30
4;P.C Unit;90;ASUS;EEETOP2013IUTI-B041C;E9PT8X003548;2014-12-23
5;P.C Unit;87;ASUS;EEETOP2013IUTI-B041C;E9PTBX003533;2014-12-23
6;P.C Unit;86;ASUS;EEETOP2013IUTI-B041C;E9PTBX003546;2014-12-23
7;P.C Unit;85;ASUS;EEETOP2013IUTI-B041C;E9PTBX003483;2014-12-23
8;P.C Unit;88;ASUS;EEETOP2013IUTI-B041C;E9PTBX003489;2014-12-23
9;P.C Unit;64;DELL;Optiplex 3010 DT;4NK2F2S;2011-03-21
10;P.C Unit;95;DELL;Optiplex 3020 Micro;F18ZY42;2015-09-01
11;P.C Unit;94;DELL;Optiplex 3020 Micro;HQ7ZY42;2015-09-01
12;P.C Unit;92;DELL;Optiplex 3020 Micro;CNOU417N-64180-9AJ-MVM;2015-09-01
13;P.C Unit;93;DELL;Optiplex 3020 Micro;NP7ZY42;2015-09-01
14;P.C Unit;108;DELL;Optiplex 3040 Micro;1P8N7C2;2016-08-12
15;P.C Unit;107;DELL;Optiplex 3040 Micro;1PFK7C2;2016-08-12
16;P.C Unit;110;DELL;Optiplex 3040 Micro;229M7C2;2016-08-12
17;P.C Unit;103;DELL;Optiplex 3040 Micro;23DH7C2;2016-08-12
18;P.C Unit;111;DELL;Optiplex 3040 Micro;1PFQ7C2;2016-08-12
19;P.C Unit;109;DELL;Optiplex 3040 Micro;22UP7C2;2016-08-12
20;P.C Unit;36;DELL;Optiplex  3010 DT;BD62G2S;2010-06-30
21;P.C Unit;78;DELL;Optiplex  3010 DT;53C2G2S;2013-06-10
22;P.C Unit;75;DELL;Optiplex  3010 DT;1P8N7C2;2013-06-10
23;P.C Unit;83;DELL;Optiplex  3010 DT;8QKZF25;2013-06-10
24;P.C Unit;91;ASUS;EEETOP2013IUTI-B041C;;2014-12-23
25;P.C Unit;20;HP;;;2008-05-12
26;P.C Unit;138;HP;ProDesk 400 G5 SFF;1CZ83101QB;2018-11-19
27;P.C Unit;141;HP;ProDesk 400 G5 SFF;1CZ83101FJ;2018-11-19
28;P.C Unit;142;HP;ProDesk 400 G5 SFF;1CZ83101DF;2018-11-19
29;P.C Unit;136;HP;ProDesk 400 G5 SFF;1CZ83101MR;2018-11-19
30;P.C Unit;140;HP;ProDesk 400 G5 SFF;1CZ8101QX;2018-11-19
31;P.C Unit;134;HP;ProDesk 400 G5 SFF;1CZ83100Z8;2018-11-19
32;P.C Unit;137;HP;ProDesk 400 G5 SFF;1CZ831010H;2018-11-19
