Nomer;Kode di SIMAN;Gedung;Kode Baru;Lantai;Ruang
1;1;2;201;1;Ruang Umum 2
2;2;2;202;2;Ruang Humas dan RB
3;3;3;303;1;Ruang Pengolahan
4;2;3;302;;Ruang SKF IPDS
5;1;3;301;;Ruang KF IPDS
6;10;3;310;2;Ruang Brandkas
7;9;3;309;;Tidak Terpakai 3
8;8;3;308;;Tidak Terpakai 2
9;7;3;307;;Tidak Terpakai 1
10;6;3;306;;Ruang Kabag Umum
11;5;3;305;;Ruang Rapat Umum
12;4;3;304;;Ruang Umum 3
13;12;3;312;3;Ruang Mako
14;11;3;311;;Ruang Aula
15;8;4;408;1;Ruang Gudang RB
16;2;4;402;;Ruang Persediaan
17;1;4;401;;Ruang Umum 1
18;3;4;403;;Ruang Gudang
19;4;4;404;2;Ruang SKF Kepegawaian
20;7;4;407;3;Tidak Terpakai 4
21;6;4;406;;Ruang Arsip
22;5;4;405;;Ruang Musholla
23;20;6;620;1;Lantai Dasar
24;19;6;619;;Ruang Laktasi
25;2;6;602;;Loby Lantai 1
26;1;6;601;;Ruang Perpustakaan
27;7;6;607;2;Ruang tunggu lantai 2
28;6;6;606;;Ruang Produksi
29;5;6;605;;Tidak Terpakai 6
30;4;6;604;;Ruang Statistik Sosial
31;3;6;603;;Tidak Terpakai 5
32;17;6;617;3;Ruang Tunggu Lantai 3
33;11;6;611;;Ruang Vicon
34;10;6;610;;Ruang Sekretaris
35;9;6;609;;Ruang Kepala
36;16;6;616;4;Ruang tunggu lantai 4
37;15;6;615;;Ruang Statistik Nerwilis
38;14;6;614;;Tidak Terpakai 7
39;12;6;612;;Tidak Terpakai 6
40;13;6;613;;Ruang Statistik Distribusi
41;18;6;618;5;Ruang Mesin Lift
